913 2464
894 896 967
17 423 315
779 456 510
70 132 306
158 324 392
123 61 162
257 212 289
586 406 356
79 705 170
863 446 850
53 126 279
778 790 820
879 506 302
229 593 923
154 108 645
832 43 970
317 319 816
258 462 201
822 323 883
400 641 22
345 158 480
829 105 403
864 331 512
34 853 591
169 563 421
789 208 923
203 142 408
714 123 489
629 509 202
530 43 117
61 395 955
844 593 451
94 569 716
85 895 35
504 775 988
293 631 552
561 104 845
355 445 201
155 701 691
635 724 178
268 151 598
220 513 853
523 856 824
206 812 832
40 63 574
36 143 260
849 16 373
175 835 104
847 650 526
273 141 828
347 485 394
162 779 258
852 696 633
778 755 483
582 392 320
54 568 761
774 579 846
197 726 269
877 300 9
508 662 235
276 182 589
537 321 267
165 438 701
39 236 932
333 412 827
890 643 244
242 358 521
238 269 463
785 368 61
246 626 325
358 903 210
736 385 525
529 664 712
241 166 221
376 895 294
518 825 864
441 78 267
459 316 583
422 147 281
371 229 220
410 905 885
735 511 53
93 368 287
369 109 72
464 699 256
856 325 131
172 529 736
42 57 909
485 500 792
382 62 816
285 507 410
60 411 922
648 572 119
785 591 825
337 206 940
715 364 59
269 875 561
575 688 355
345 132 275
283 794 337
323 732 374
436 568 159
800 897 275
640 484 482
485 656 774
633 441 70
538 263 179
219 338 860
277 48 427
492 856 983
388 233 407
729 802 752
33 318 170
774 14 454
204 88 736
511 889 995
301 217 769
827 264 827
394 633 206
755 431 296
753 807 744
456 382 21
156 618 700
45 560 478
423 476 830
400 440 435
194 526 439
103 680 884
241 787 706
286 4 735
614 810 270
741 657 138
840 404 389
653 779 113
453 888 55
59 170 69
176 463 940
826 634 716
426 645 631
184 280 446
133 126 78
734 494 454
148 162 103
704 662 743
81 144 31
401 151 999
235 298 429
639 247 777
621 873 913
363 145 398
50 196 924
303 68 321
834 754 187
779 409 916
618 248 212
569 710 195
259 852 510
591 63 958
416 222 829
814 576 990
729 322 525
420 459 599
39 793 454
198 146 26
269 100 376
689 452 743
799 863 238
827 485 839
691 612 839
566 840 617
341 504 613
543 596 758
406 422 555
811 549 126
166 326 967
683 804 815
769 881 54
825 677 248
173 251 683
320 142 837
454 108 450
408 313 886
410 671 882
598 150 570
889 476 707
47 234 421
265 743 927
230 625 731
263 467 181
438 448 460
332 280 223
149 708 484
223 662 356
529 412 786
575 347 278
385 767 799
356 155 752
168 469 603
636 705 435
860 893 830
636 590 117
262 256 859
567 203 464
39 34 287
830 724 972
513 77 441
558 583 503
622 695 862
440 644 990
540 743 993
47 656 77
572 798 527
163 29 711
681 435 503
105 6 244
684 581 463
86 672 871
596 15 726
563 638 583
201 859 166
299 800 133
739 897 101
137 520 990
304 619 62
118 258 902
409 146 908
279 433 753
616 626 167
760 711 187
419 694 959
607 279 191
396 470 732
164 779 341
906 646 985
378 741 79
92 863 752
137 262 570
432 103 603
737 47 927
140 639 931
851 577 560
418 244 900
383 733 753
277 71 420
38 637 783
429 842 378
135 546 546
491 425 581
454 774 432
332 736 331
628 260 632
39 540 657
135 33 414
676 891 60
433 808 10
401 680 253
513 118 613
250 400 325
685 117 173
90 303 242
699 503 706
844 506 877
226 768 31
647 242 715
531 415 334
360 851 826
680 668 579
148 93 39
153 538 21
793 652 309
738 328 779
246 458 830
723 32 820
248 138 555
862 229 8
819 18 679
354 870 139
667 159 835
911 248 679
173 240 192
599 10 890
290 322 280
289 473 144
793 276 825
911 778 282
517 379 320
73 468 735
680 117 259
639 779 840
628 632 471
144 148 11
600 553 725
219 709 768
111 103 896
753 260 804
624 608 154
645 13 162
5 260 276
87 476 941
310 195 431
676 674 697
652 833 212
886 882 705
700 69 667
146 267 144
387 701 121
844 74 514
912 761 188
187 316 743
486 892 938
74 383 355
112 710 772
82 432 861
330 834 616
413 648 939
564 358 441
560 565 682
546 255 772
251 553 422
256 319 923
511 627 744
433 856 53
317 820 422
470 204 522
234 323 425
563 44 519
414 653 372
297 699 23
723 170 461
242 69 719
104 701 218
300 546 880
113 300 92
150 10 574
530 402 452
169 403 825
734 160 76
409 876 186
271 41 306
281 300 162
846 199 885
466 681 862
190 292 163
109 294 245
217 662 189
249 642 165
276 490 629
731 646 641
490 863 700
215 193 731
823 847 422
397 770 137
576 620 160
782 191 877
340 826 501
620 712 716
10 868 772
703 653 926
528 862 139
806 757 235
369 246 991
446 901 619
251 500 407
337 126 67
873 178 858
881 295 18
754 809 374
885 883 413
130 219 935
838 437 669
182 268 995
769 230 337
420 824 393
558 834 175
548 720 594
482 552 365
552 664 487
590 240 286
810 44 503
318 183 920
228 244 725
191 669 6
743 376 98
574 189 664
711 611 272
527 333 7
548 387 761
198 402 929
92 20 277
137 51 262
24 281 72
883 150 711
801 839 912
522 693 336
302 414 821
682 201 962
71 161 648
376 205 945
338 318 783
784 861 401
660 610 797
801 610 992
284 337 679
800 669 797
116 97 170
662 371 556
52 847 232
740 125 445
420 602 147
501 852 666
489 1 519
702 489 272
609 226 969
137 789 209
422 853 933
422 153 389
663 536 824
153 355 124
73 671 369
171 885 483
346 582 820
687 387 1
56 677 622
872 835 477
861 878 670
324 756 988
536 395 188
103 285 868
343 338 201
375 701 796
521 608 52
658 861 173
767 98 843
295 199 2
499 585 829
55 464 9
844 280 106
160 450 351
331 493 62
445 419 263
212 140 806
347 148 936
719 471 595
72 677 77
609 643 676
53 680 63
244 900 553
185 498 829
211 24 99
187 747 801
170 465 457
734 264 298
273 418 185
753 136 157
585 409 943
380 44 322
825 719 351
214 209 950
545 75 562
836 289 903
709 700 64
537 195 521
502 482 520
467 575 699
70 890 38
696 262 597
192 562 451
329 10 745
380 508 281
577 781 466
306 592 417
197 70 953
708 632 941
663 256 184
891 404 382
435 742 415
215 420 943
719 521 40
468 889 308
633 694 28
671 869 587
876 371 533
544 502 29
125 601 319
824 870 452
52 788 937
782 770 290
307 465 4
4 248 466
741 154 182
271 10 95
649 73 81
840 539 28
805 739 791
254 510 261
366 479 473
403 319 581
753 766 445
325 338 858
897 584 129
86 759 756
609 116 321
606 701 766
500 907 885
904 913 466
793 28 675
449 775 671
192 614 512
319 285 313
185 766 297
301 709 263
388 836 16
289 777 485
104 264 869
10 606 142
359 299 181
126 767 59
547 608 830
576 806 158
801 646 212
623 658 793
568 223 856
413 716 735
470 537 300
612 904 618
636 589 987
417 211 766
410 209 705
5 189 145
654 695 955
298 627 264
901 857 869
774 246 445
792 300 700
885 443 949
119 473 239
797 329 620
504 760 957
182 507 755
542 67 123
661 388 252
103 844 239
575 738 256
493 244 174
789 539 288
768 663 311
137 765 77
458 361 393
526 106 812
744 584 713
374 700 388
721 804 641
475 657 154
655 664 604
173 738 708
194 13 621
419 581 757
75 679 288
779 338 958
671 835 766
546 560 333
615 830 534
243 737 316
468 782 632
846 839 402
565 766 594
161 850 800
345 643 683
26 674 89
696 26 392
261 893 705
302 786 340
868 258 263
95 72 604
364 786 730
525 804 281
719 734 892
529 723 666
199 387 922
58 829 982
8 615 981
787 25 941
324 180 215
342 485 273
442 150 316
69 675 110
100 214 309
58 672 14
496 255 86
588 159 549
752 398 544
76 482 145
54 279 703
306 830 882
467 112 229
249 470 509
187 768 543
223 595 779
891 537 453
611 48 212
186 238 953
343 517 274
3 758 48
96 792 651
113 327 169
558 700 732
551 96 403
652 44 808
368 613 34
341 681 188
827 579 321
298 706 478
853 150 932
258 519 239
315 346 743
83 240 732
230 568 464
667 361 635
814 260 267
770 244 860
554 411 429
419 533 69
293 728 19
53 523 607
563 36 739
313 615 335
457 440 528
507 878 279
671 257 584
472 883 836
217 622 897
526 659 771
291 377 607
392 447 389
599 843 188
715 499 89
699 279 280
638 336 782
798 542 470
303 229 628
903 166 739
324 646 865
877 621 189
368 251 801
226 462 128
703 853 393
296 37 623
169 875 983
802 512 634
681 773 191
659 405 657
515 691 248
424 175 841
270 446 261
338 876 32
538 525 533
831 561 195
835 295 147
642 544 879
210 682 969
471 895 462
694 559 722
659 274 415
664 873 93
834 801 642
638 233 262
188 252 585
103 375 802
370 259 261
566 270 335
180 385 897
672 140 362
196 12 75
339 667 827
154 239 912
636 35 432
802 855 866
654 311 549
700 309 16
414 888 429
532 611 925
437 800 239
733 452 829
666 536 216
442 110 159
678 339 104
198 130 693
750 106 796
142 645 998
732 822 787
77 819 343
221 431 542
488 165 492
856 480 322
513 416 734
37 323 173
240 394 381
290 864 334
319 793 501
57 717 506
618 807 149
283 736 912
78 880 190
438 411 717
844 623 454
173 894 400
702 716 74
886 19 425
518 655 784
663 155 885
9 328 841
897 75 390
102 635 912
626 690 341
806 248 333
102 441 600
187 688 80
697 345 834
517 331 461
220 316 930
103 201 375
215 319 262
847 610 634
204 270 155
91 42 436
201 682 483
548 246 723
822 222 566
345 865 718
406 142 403
325 380 480
133 846 735
349 380 675
518 431 60
794 894 417
550 29 706
458 311 306
823 82 331
179 114 806
455 262 52
559 724 806
823 338 147
461 82 734
167 89 106
807 248 376
781 451 935
440 448 588
418 443 821
891 358 136
498 329 29
682 371 323
839 702 782
503 15 314
70 425 132
858 104 223
84 849 346
589 851 51
534 665 303
509 39 44
757 240 326
208 776 981
712 726 429
96 81 403
267 808 20
151 658 133
107 634 337
705 365 861
788 17 946
754 442 833
586 133 98
880 200 241
444 340 482
250 686 957
300 81 746
183 232 697
500 28 60
332 104 305
474 810 145
600 653 893
98 823 560
220 408 376
701 169 691
163 802 32
270 419 713
772 892 376
514 560 252
73 874 939
597 763 99
154 579 715
216 203 289
560 772 822
624 12 328
285 146 590
879 696 398
894 130 781
407 49 375
788 772 846
655 57 141
612 793 460
500 157 783
583 738 386
597 356 945
735 227 659
835 583 513
701 896 844
572 203 138
762 213 644
750 846 435
354 4 109
598 302 56
324 888 793
732 759 763
784 906 9
113 548 789
93 620 667
150 382 880
572 595 271
502 489 893
577 417 95
796 418 960
817 259 876
247 78 226
294 535 610
412 285 364
84 112 665
15 650 239
82 378 823
687 246 880
825 216 207
464 406 526
364 461 47
787 685 264
237 681 379
562 512 961
518 823 835
816 401 245
661 828 938
259 155 705
728 813 755
786 130 374
780 731 305
841 879 456
476 381 232
527 719 825
317 168 907
471 271 995
541 344 849
371 570 15
326 360 370
252 260 413
63 48 782
513 600 490
404 703 903
16 552 132
568 863 910
736 835 592
311 717 55
430 837 561
644 502 591
617 382 917
306 495 122
678 441 483
149 22 767
666 66 932
391 451 209
279 688 298
521 836 196
19 389 586
584 839 426
103 707 340
11 99 115
10 894 545
251 328 49
53 746 533
878 547 816
374 239 836
361 723 695
408 177 230
271 240 944
471 362 355
480 41 160
759 635 283
298 551 451
611 394 656
773 622 929
405 358 912
589 443 605
413 578 928
664 651 681
819 271 918
182 612 885
519 675 468
511 282 409
608 591 648
243 184 221
715 550 258
824 600 184
792 723 143
452 62 925
145 665 529
666 854 861
834 572 429
97 749 253
789 739 293
772 48 97
63 431 716
597 441 337
157 372 87
460 114 265
707 868 500
522 653 148
846 697 880
753 809 304
149 15 575
36 724 848
612 615 921
370 659 28
236 250 841
871 581 154
754 479 795
269 83 185
664 444 569
458 428 409
246 753 493
183 265 365
860 106 704
640 588 799
79 1 507
908 278 153
318 386 59
355 535 494
254 88 643
465 212 350
466 867 706
355 337 85
124 11 453
354 223 106
689 454 493
574 319 442
894 693 588
764 191 595
878 689 537
651 201 530
586 199 713
211 618 173
767 496 917
722 902 525
165 697 891
88 742 584
551 238 535
257 612 396
262 485 981
733 803 681
449 292 330
241 837 254
466 267 28
206 810 799
126 547 308
865 14 886
362 866 374
43 862 62
112 187 543
772 135 168
619 135 405
771 489 138
366 771 901
373 201 708
875 389 620
89 618 102
185 254 736
34 457 972
856 615 71
380 659 881
376 890 319
39 242 698
510 682 668
332 540 742
613 34 42
394 584 552
684 50 732
52 671 914
150 640 310
763 720 469
835 841 979
101 287 284
802 489 666
449 99 639
327 605 477
94 417 870
42 799 921
106 271 591
548 78 499
589 223 94
723 463 578
11 200 246
349 272 803
806 562 659
508 204 321
504 699 951
715 247 310
285 851 542
619 237 18
427 756 660
670 350 772
822 794 689
458 132 934
610 335 907
585 184 291
37 82 900
313 518 645
201 231 270
161 861 536
615 673 974
371 176 426
483 722 179
454 466 751
228 335 897
438 174 308
757 252 660
467 52 300
837 211 268
104 165 249
722 129 556
885 398 33
567 853 800
151 591 196
721 570 440
431 910 428
389 692 791
578 614 100
618 480 590
556 103 485
88 97 809
659 146 15
908 488 660
549 582 229
52 116 646
117 144 179
711 89 778
67 167 784
32 246 73
489 512 21
102 645 64
212 796 354
644 546 825
420 238 163
909 622 104
22 557 399
771 1 344
305 422 48
197 488 820
99 119 568
40 242 540
407 179 922
645 904 779
619 136 682
443 286 370
697 314 99
217 641 270
891 885 722
690 720 166
784 140 145
480 282 715
174 875 439
42 358 850
458 536 756
537 355 417
838 373 547
535 137 867
170 478 162
50 594 289
593 387 342
910 20 904
634 5 882
475 407 465
556 241 758
885 775 398
12 419 673
342 69 245
250 463 161
213 370 739
759 28 638
843 176 302
832 31 331
74 266 866
454 381 982
287 691 9
794 262 813
775 804 431
738 730 925
896 870 126
25 881 777
163 361 952
408 835 617
642 19 204
657 274 527
341 638 393
541 791 392
598 644 900
165 117 324
720 842 368
378 343 648
545 45 888
650 32 183
780 556 214
233 66 646
234 581 476
796 197 784
583 193 901
738 507 368
145 445 242
774 791 738
472 649 962
871 611 489
412 607 281
42 177 307
300 297 697
264 667 984
433 431 858
535 385 718
521 77 759
636 377 524
44 389 30
52 512 542
616 809 868
202 330 439
797 132 592
500 532 208
842 295 898
511 896 858
234 754 230
730 564 770
259 135 831
733 38 718
351 333 700
443 825 534
255 460 911
362 811 511
662 600 803
567 782 71
903 451 114
24 735 536
326 225 106
600 716 998
223 56 14
487 766 380
708 655 300
214 237 939
867 653 181
569 405 892
707 284 722
742 182 958
1 472 68
912 787 120
595 410 884
892 827 298
644 830 570
358 504 87
893 732 106
410 126 681
808 529 33
853 719 591
702 153 900
4 714 367
263 752 172
225 326 578
612 717 117
473 226 664
910 107 78
606 492 128
23 799 69
274 761 685
795 511 492
261 827 8
807 855 499
897 672 316
499 453 459
674 150 631
544 51 20
216 593 21
306 508 18
739 790 199
45 492 189
225 307 561
373 101 785
615 449 185
51 340 106
221 615 106
569 24 929
586 812 312
449 324 552
830 126 566
8 848 682
35 670 482
470 492 570
62 96 679
868 611 731
169 576 946
326 308 382
680 785 554
90 685 641
715 761 838
35 610 487
222 344 261
559 728 607
759 822 663
724 669 163
443 910 166
576 202 975
758 57 33
469 673 48
37 715 122
125 203 283
311 361 652
174 394 257
759 19 128
329 659 550
898 397 503
155 542 297
163 802 100
212 372 962
307 87 706
862 359 218
588 617 891
381 414 342
298 124 212
405 215 836
238 212 663
46 50 634
770 374 321
681 535 984
837 9 29
326 445 352
755 423 504
591 428 241
744 653 681
374 880 698
281 410 272
348 826 106
553 461 943
85 821 504
493 557 553
383 48 683
835 150 160
137 436 667
471 336 603
667 800 171
150 67 722
400 57 575
175 233 47
734 791 676
144 606 434
892 95 573
438 223 246
579 375 732
692 604 871
894 646 718
883 391 137
419 720 299
32 371 712
389 410 162
874 828 684
121 107 699
772 33 103
168 135 953
74 269 928
590 671 461
775 246 700
865 758 852
769 821 537
622 484 798
276 407 112
303 273 861
73 726 289
418 40 537
703 598 128
152 176 343
40 431 824
575 136 421
601 673 977
469 535 392
849 397 523
134 632 720
374 147 592
657 58 717
393 269 916
107 203 113
338 62 648
717 753 72
227 778 486
14 532 294
73 853 580
369 111 651
511 687 57
704 473 667
803 834 304
796 566 480
352 591 504
308 61 699
560 518 66
93 894 450
243 499 305
52 306 297
598 149 241
32 722 818
68 796 958
572 614 953
57 310 375
411 82 787
389 377 56
444 611 285
566 711 6
678 705 771
457 176 434
191 841 874
138 217 419
194 637 694
355 467 382
400 425 196
431 259 238
775 416 606
715 402 762
731 56 467
413 642 150
228 240 491
781 262 334
383 468 443
159 131 124
124 253 908
403 550 469
592 184 757
729 399 269
718 436 904
885 139 511
485 257 616
756 49 206
677 649 54
293 580 639
57 485 583
456 854 758
41 226 26
636 420 837
700 179 263
10 577 49
555 842 359
325 308 490
579 515 540
822 85 727
478 162 298
321 453 428
297 260 560
711 881 150
317 130 277
797 455 151
494 62 810
829 44 883
28 186 984
182 749 354
168 859 561
527 768 237
610 155 826
87 450 919
606 145 288
752 823 418
373 407 437
32 177 10
741 382 840
491 718 440
379 30 211
419 95 94
380 326 719
377 830 101
113 469 61
784 772 997
163 228 317
506 695 7
832 429 472
740 147 135
326 463 594
596 822 316
485 395 517
356 591 719
27 342 424
257 62 505
523 757 887
550 300 220
6 169 879
863 388 667
866 850 601
412 673 533
612 744 394
229 425 847
746 321 310
322 130 878
266 870 28
446 711 300
557 754 35
874 556 334
387 365 60
257 161 19
104 704 638
476 45 306
860 522 274
597 112 28
853 208 439
464 120 234
496 850 197
396 544 458
563 717 637
540 672 838
559 168 357
503 699 245
184 738 843
311 743 479
96 892 408
265 818 775
80 203 620
435 70 669
373 793 495
394 239 170
816 301 305
645 803 967
512 711 581
813 625 106
82 38 73
758 849 601
236 229 54
884 361 708
308 296 640
263 620 715
484 252 475
842 686 790
452 482 166
726 584 401
163 907 451
451 55 442
20 301 183
326 65 631
659 426 785
49 582 691
252 486 908
636 858 723
641 403 911
826 79 380
525 691 914
135 296 696
859 502 33
613 669 260
353 249 38
628 506 920
238 796 878
121 136 953
277 828 778
645 463 201
99 189 943
282 762 778
489 712 613
224 475 964
762 10 550
90 422 906
554 7 894
456 860 983
768 31 697
768 492 613
559 466 683
388 345 519
787 631 466
250 815 228
273 496 450
784 717 258
670 67 519
262 42 791
190 284 752
707 154 831
67 902 617
704 777 260
352 850 2
16 257 10
437 386 845
14 741 934
34 676 1000
729 337 606
263 167 383
379 672 533
734 637 229
444 845 248
438 342 63
239 692 405
385 560 329
539 712 426
742 227 128
221 452 183
70 483 730
840 6 210
731 567 652
900 855 294
685 273 228
90 518 168
57 840 864
851 73 267
88 656 481
373 108 962
290 904 275
192 3 71
375 91 817
263 876 929
745 730 590
652 490 833
134 421 807
121 824 687
792 393 848
463 798 577
820 153 476
360 177 239
661 301 7
602 661 311
515 877 529
176 890 298
141 390 634
67 870 17
586 141 943
746 697 941
750 534 30
46 751 297
183 679 187
131 729 462
307 44 524
626 156 271
362 514 438
300 9 551
219 512 617
828 879 798
252 851 942
797 585 482
124 526 365
114 259 31
54 63 302
329 736 55
196 398 730
126 755 222
744 239 284
336 742 364
732 237 264
297 129 451
255 835 828
270 777 42
147 636 872
362 240 750
284 404 917
361 292 815
189 650 593
691 412 980
553 542 755
366 683 933
138 571 290
891 684 920
230 430 736
706 869 236
17 880 503
723 570 317
249 292 344
414 338 302
237 583 545
583 446 431
18 502 976
542 166 221
490 727 417
502 786 943
519 36 311
729 277 200
364 525 407
213 33 283
801 702 795
673 249 18
418 419 563
535 30 214
481 746 841
122 678 735
87 124 963
786 337 296
4 390 414
131 195 357
745 41 914
9 725 437
546 292 426
512 486 951
226 834 354
867 497 721
212 191 56
406 433 276
202 275 316
665 213 454
415 367 201
456 839 904
896 807 973
377 1 16
43 496 581
722 61 853
217 650 962
695 379 532
732 835 630
690 327 635
824 63 195
518 350 160
38 17 514
593 418 19
504 332 861
667 769 682
176 590 578
62 402 899
778 124 413
587 739 396
301 130 248
342 481 74
66 562 72
729 744 652
556 30 629
52 203 83
184 162 454
376 734 712
890 741 853
309 586 766
357 759 392
32 540 284
708 811 760
862 878 313
23 265 602
885 605 361
580 825 548
159 347 658
14 110 358
883 7 490
610 615 614
413 63 746
517 793 894
528 119 420
339 449 505
659 702 760
743 787 16
566 796 402
796 891 2
741 142 436
823 576 702
863 816 170
93 458 65
63 470 584
905 605 987
87 282 622
399 76 325
758 277 580
133 849 429
579 264 757
629 285 304
661 73 589
456 376 585
129 579 386
263 475 697
88 153 409
637 406 990
894 86 23
24 76 224
529 767 705
46 314 718
55 58 977
117 775 778
832 424 279
492 23 853
500 190 468
471 567 893
415 552 489
298 187 162
676 757 5
903 469 397
690 370 292
653 520 130
806 629 556
149 723 778
370 373 742
151 466 95
726 776 281
601 194 356
689 130 106
201 328 744
200 895 452
906 606 902
287 78 666
856 457 138
376 659 395
228 564 275
12 183 379
13 358 263
485 647 665
451 227 284
127 423 266
428 901 250
282 659 446
481 655 661
63 722 565
730 501 399
778 394 706
754 391 155
711 437 719
897 108 272
132 395 691
75 560 509
777 148 373
790 547 749
469 748 685
465 439 277
751 767 492
88 307 817
518 175 974
386 387 241
622 901 363
291 145 891
717 47 660
209 769 400
786 416 153
662 906 158
913 556 5
731 459 871
142 755 525
773 673 184
583 413 509
376 64 856
818 561 810
617 753 922
841 468 564
145 127 74
371 386 386
902 842 266
654 279 798
76 283 800
108 692 63
309 389 956
492 508 427
843 293 249
391 584 877
20 853 430
782 145 913
403 320 593
310 497 914
211 786 678
38 388 965
294 603 669
342 614 227
23 158 736
810 530 461
29 57 198
255 849 137
425 329 748
264 820 779
286 175 56
753 842 281
738 658 85
608 54 449
741 65 639
320 141 165
496 784 65
859 90 49
367 513 75
298 353 603
21 221 957
809 615 339
849 274 647
142 112 285
739 578 568
700 724 687
840 343 740
112 285 835
890 16 97
572 295 48
470 357 294
363 88 863
48 360 141
276 242 315
643 530 817
552 828 809
299 752 120
412 541 558
523 674 995
387 276 627
206 875 105
801 693 93
683 372 376
231 898 50
886 660 574
676 129 837
271 414 197
476 763 772
734 838 829
272 880 955
718 161 913
252 312 601
622 152 687
766 214 773
377 621 6
863 739 460
110 875 79
101 673 139
283 29 994
495 646 733
287 821 411
9 660 564
514 129 185
297 50 783
238 853 158
255 605 5
657 116 94
635 150 525
570 315 863
808 218 594
339 822 831
835 384 286
369 98 548
761 338 730
557 374 231
625 694 171
363 828 911
537 127 37
620 245 178
587 879 125
682 636 818
9 89 255
377 669 816
64 303 559
819 548 586
184 834 658
431 712 650
806 475 838
435 882 806
482 119 90
302 534 976
726 664 134
266 471 796
431 674 833
629 769 475
147 75 869
420 654 200
433 885 997
722 337 516
431 281 528
699 543 751
362 261 34
791 885 579
687 377 647
300 195 188
242 755 498
126 203 956
861 810 693
190 510 605
83 782 534
655 119 831
822 80 159
198 461 962
897 438 717
886 598 685
509 707 112
343 792 902
166 593 918
837 138 54
49 550 61
128 444 267
141 265 665
475 833 652
718 269 612
784 509 602
603 812 773
98 615 210
546 674 739
375 115 688
122 328 297
812 17 862
358 809 414
380 856 956
386 438 10
494 491 894
19 635 315
887 687 38
101 355 230
123 147 163
282 863 438
657 310 371
401 239 371
68 276 666
730 683 134
548 862 488
402 516 255
47 10 723
895 573 517
658 199 742
25 821 480
57 602 347
482 831 253
648 531 405
551 75 48
439 362 39
230 113 980
391 778 871
176 790 869
419 770 910
897 413 685
524 91 845
843 109 607
83 870 869
857 805 411
873 831 550
581 425 655
7 289 539
563 54 403
582 61 687
499 688 548
377 234 963
590 111 882
816 266 864
678 732 711
534 245 641
55 876 237
525 144 919
610 561 393
293 338 554
118 345 398
353 256 371
57 47 607
71 46 217
674 195 206
371 54 108
659 222 154
518 598 816
530 913 57
396 374 780
463 140 97
780 730 803
127 817 22
332 655 742
296 573 39
481 569 65
870 605 476
508 724 230
856 600 383
738 91 326
184 686 495
554 237 73
332 523 93
45 807 848
81 905 15
97 643 335
760 206 626
577 713 140
317 396 503
492 610 334
105 725 298
302 464 461
837 521 119
463 300 71
23 192 625
37 42 969
732 677 427
848 398 836
