9895 29698
4438 7721 -40
1222 5286 892
2746 3330 -746
7367 7110 86
1936 7374 994
6780 6227 -346
5597 7837 -164
9079 1588 -159
4104 355 -567
8712 2894 -149
3129 1873 -111
1793 3027 -433
1646 6150 599
6207 9143 -669
1500 5613 -569
2583 1387 105
3484 9676 732
8171 9146 728
4536 9558 366
571 5732 -962
3846 3072 272
4519 8641 670
1709 2119 203
3711 2979 -737
3625 8797 -112
8431 1785 -359
2109 4946 -714
4264 3593 8
7791 251 -111
4489 5798 362
9560 2958 677
3840 2067 -916
4311 53 183
2704 3093 35
1401 8390 260
423 6797 -229
2154 7165 -25
3639 3982 -784
4585 2494 415
8849 6762 -755
2308 4122 -314
7687 8221 -196
970 5557 220
8943 9869 433
4901 39 -966
3670 1861 -938
3434 6323 -418
2806 3069 7
7952 8846 841
487 1040 -186
2166 4483 -485
5833 5535 77
7807 9103 50
2808 6382 765
4968 4402 895
3748 5894 690
4619 6297 119
6354 6000 242
7973 5061 -897
9748 9841 -662
1155 9609 844
7931 2141 172
8949 5670 -748
1666 6184 732
1156 6013 -264
3461 285 151
9632 8858 484
5027 7624 -355
9400 2582 -278
2653 931 -154
1074 865 891
5240 6151 -331
2989 3290 -487
3494 3318 160
4129 2530 29
3261 3294 906
2741 8678 593
8709 5702 70
4337 7005 -275
5873 2413 -655
7975 9711 -908
5684 1415 -655
8334 2573 -604
2424 5182 -960
7305 3660 778
8113 6149 374
7983 3798 711
8224 9700 881
2069 4288 -771
3216 9843 -456
8193 1316 -807
1677 3287 902
3948 9385 786
3504 7190 144
9432 2022 956
8383 6592 4
3004 7091 -949
4372 3875 -630
5952 6564 113
70 9040 722
9513 8463 -759
7200 3659 -501
5764 9310 26
3605 9763 478
3739 1937 989
7632 7707 422
3499 236 400
58 9484 411
5964 2651 -666
3688 7991 712
720 4434 332
8242 9345 -94
7408 1919 647
989 6559 59
4212 1013 306
6274 8219 40
7525 9068 306
5866 3167 607
8822 7073 303
1969 3983 -187
1775 8613 -233
8471 8979 -63
6408 2518 -669
9196 1781 976
7733 2239 -612
8266 5672 -764
8006 3819 -182
7727 3859 -886
2667 1986 -937
4039 7344 -169
943 867 875
1667 187 268
7874 7550 178
8918 8595 -550
9620 4472 809
5395 4535 -708
5089 2028 6
4578 7405 -779
6531 4871 -688
9754 3104 -515
5914 6478 478
1703 5146 -490
1873 3369 -99
2815 6951 -871
7297 3499 909
303 2561 35
3439 3923 909
6551 1324 -158
672 3262 75
9344 7857 -92
2789 1775 783
7382 6892 -246
9867 4891 202
8268 4949 847
702 6209 124
569 9225 -352
9493 1306 313
5462 2126 -599
4926 6660 436
2612 4379 -186
4816 9809 -517
8379 366 434
4509 9113 242
9771 402 764
8037 4419 -451
4293 34 423
4259 3887 -521
7397 938 10
974 1445 -862
7458 6106 -607
2971 8240 -67
8961 8958 -811
9246 1293 -826
3362 2884 -771
8363 7701 584
5334 1703 -252
4618 2168 703
4180 1810 -122
5926 7893 264
7914 341 -554
3268 5500 -948
1783 2529 370
8204 7977 435
8950 2469 711
1692 5009 331
2333 5815 -807
2607 5950 -727
3796 1777 62
898 7964 986
3158 3124 -33
6028 9008 968
394 3245 557
6902 4602 988
8757 3735 100
7718 7459 -280
9852 2538 -279
41 504 693
969 7357 -32
1766 9100 219
8005 3022 107
4332 5084 969
3785 9611 462
1071 8336 243
8179 9541 86
9772 5459 482
76 4235 471
6989 7847 275
8613 8884 44
5833 2287 660
2791 1648 -882
827 3568 -150
2255 6156 801
4411 5650 511
1941 9222 -45
1713 9030 -205
2838 1797 -550
8609 4250 288
3997 3238 243
9772 4983 -655
685 5819 -161
3793 3206 -13
4270 483 360
3583 2549 182
7350 9047 330
5014 7870 -277
3487 5754 986
6275 2843 -740
1908 7845 945
6509 2064 -790
757 2323 -24
3533 8313 -750
6562 6841 691
8018 619 -24
6097 5491 -748
4690 490 511
4246 5922 307
4760 2095 -532
9056 4497 423
1315 341 967
4283 30 -287
8814 1208 109
6900 7909 916
118 9044 579
4972 4391 783
4822 4826 675
3929 9810 445
2408 40 2
4616 4162 707
5269 9732 -998
2861 6878 742
214 8598 909
2851 4718 -595
3948 9185 584
3810 4352 -419
2585 5712 -381
5151 1424 204
1029 6116 479
6674 5692 -934
9615 5528 -530
3063 4630 -378
9104 5448 -708
1745 3154 -208
635 8323 -492
2107 7701 663
9334 3020 -397
3522 4692 -460
4970 5883 -152
8374 2372 18
714 5553 314
3420 3675 -836
8187 8140 -615
1072 7909 -144
1344 6343 783
9037 4382 -689
7065 1294 273
7000 8627 725
8784 636 349
4798 6624 189
6448 7433 819
1870 9421 255
3484 8834 178
6061 3553 -560
6507 1812 -656
7494 6674 594
4767 9157 588
2298 7018 -726
1451 556 -151
3597 2910 -905
826 8066 57
413 3943 -232
4557 7599 43
9170 4122 927
390 9307 618
8997 8089 340
8842 1110 -127
5313 5975 910
107 8318 903
3461 748 672
887 5907 245
9381 2697 370
5786 5911 -307
3189 9883 111
9753 4420 269
3071 6532 -873
8083 730 694
6961 9861 -980
9655 831 -56
1274 2351 -424
6199 6070 -764
803 5088 -992
4309 7772 36
3047 8682 341
214 2085 -986
1993 2628 845
4251 4330 715
457 9585 566
5182 4552 416
3451 3163 -795
7367 6072 -367
7265 9742 776
4451 4908 -115
8166 7467 -322
7712 9814 112
9783 6461 -887
6084 2356 -149
4739 4000 -819
7731 3176 600
8663 8442 -460
5636 7813 493
7202 7036 453
462 679 -561
4670 5059 732
295 3892 939
1769 886 365
7620 2216 -489
5653 8725 658
6160 9516 926
3269 3850 152
8751 2454 -272
9621 4245 -581
2903 4807 -536
3876 9662 -410
7776 5751 536
8662 1520 808
3977 449 167
707 1127 -653
3890 6995 -335
151 5362 -273
830 5246 -209
8726 4483 769
4185 2676 -950
3025 7451 -734
8469 7124 419
2298 9676 402
9700 6487 112
1782 8789 -592
6471 1889 254
6093 3104 458
6994 1578 -598
6170 6384 -298
4430 526 948
3283 1027 -567
1303 5826 -804
9385 4775 -845
2386 1485 791
1041 8518 869
6559 2000 -676
5577 3204 304
1037 3261 -949
5899 6480 310
6854 4093 -832
6956 3773 418
6743 4259 -425
8953 3369 -551
1099 1044 779
7993 2192 -873
7300 5299 168
8930 5249 -628
4780 4208 -37
4541 9056 393
1228 281 -367
6403 5038 275
4456 6680 -818
9165 7058 -637
375 778 -421
469 3525 -933
8579 6355 117
4780 3631 894
8131 4240 -70
499 6353 327
1671 7360 408
9484 1393 -194
507 5368 840
7656 3298 727
1573 9473 416
5354 5097 656
6616 2351 459
6213 3531 231
9837 2229 -870
2784 8835 -96
4512 8995 -782
4042 6243 -910
5676 8357 328
7092 2306 2
5667 2700 -108
8212 977 989
7331 7218 886
9403 7571 245
759 8524 -687
3764 8384 683
9743 234 593
9439 1167 112
1027 6169 -816
2178 7249 880
5952 2865 209
7811 6579 366
531 7693 -567
3181 8096 864
134 5267 -316
1130 5036 177
1498 6531 731
3445 3484 267
1806 6312 -69
1092 4622 518
7893 9072 526
8489 3072 221
644 1039 92
7512 5321 700
9745 7267 -791
6668 6495 -690
5698 4520 84
4622 24 -698
5603 9630 -395
583 8295 -624
3212 6750 782
4335 8038 39
9869 1078 852
2020 7795 210
1123 8011 -229
9709 3024 564
8196 2499 136
954 6822 -56
2264 4879 253
8953 3873 28
5371 2267 548
5555 6318 -563
779 9050 -208
1889 5357 -596
2806 7554 -816
1873 9239 -818
7122 5782 -218
3574 7975 -758
3488 2191 824
1320 9251 423
9195 615 80
407 3570 986
9153 6874 -622
2498 7433 -896
3146 6163 -753
6494 5613 -129
8497 4462 782
7313 4439 58
65 4957 317
1181 2606 461
1957 2787 535
4352 105 -195
9266 6701 171
8528 8464 448
7955 9321 683
4733 4300 -616
5125 9740 -725
956 6153 379
540 8963 -924
1629 393 936
9052 7289 237
7189 3606 974
2531 3708 818
5400 9757 -107
7182 80 -915
30 9442 -282
1841 4554 -824
971 9283 -627
1240 9171 -443
9733 3557 783
4246 4937 317
9307 9703 441
6384 7275 -677
1491 120 82
9441 7372 -665
9652 4275 848
4672 819 -978
518 5019 194
3680 3319 896
7638 3496 738
1547 5326 937
2151 1811 256
3709 3365 347
9790 4231 -99
9566 5405 704
6593 3265 -145
6699 6673 140
1970 6385 -655
3064 4643 436
7961 1278 593
2115 3949 713
7050 6251 619
1993 1225 119
6021 4808 -259
6502 9883 61
490 1193 -732
715 7642 -494
2116 6793 997
8373 5122 -629
7707 7401 -491
7821 7272 6
3660 8968 -137
8238 5116 -226
8414 6371 143
2858 886 603
4786 7261 661
903 9001 438
9217 8629 78
3337 3736 -215
4251 3286 -264
3675 7921 -831
1361 6461 520
3964 2440 355
6573 3720 -319
7001 8630 -249
3506 4286 866
6675 8382 -44
1276 7180 833
6310 2188 746
5589 4412 -916
3703 6149 -381
6490 7343 744
3619 3147 -813
8691 3940 843
783 7285 -471
2784 6034 -642
9752 1793 -426
6582 2104 880
6198 4488 560
3947 3980 171
1419 4024 -19
9407 2541 -962
1251 984 -707
2708 6342 -209
5437 5021 889
7985 3567 712
958 1147 -991
514 9177 165
326 5180 -92
8921 1467 482
8756 8930 -663
7468 4186 -365
7822 4319 -589
4226 3608 -941
5473 949 992
3059 4378 718
7102 5567 892
3869 2417 138
2288 7015 -824
7676 6287 -240
6181 9058 844
5062 2155 63
9360 6049 -692
9539 1484 603
7720 2250 -861
1808 2826 -544
8092 8417 -632
8388 8425 487
669 9624 -520
9345 3340 -555
5540 1459 864
5567 9135 548
5564 1018 -820
596 4696 333
1039 3938 -670
3605 496 -284
5639 3389 -682
4333 2371 -779
7570 7701 -379
8870 1452 862
5839 6221 119
4337 1191 965
984 6912 -315
8064 6800 -916
271 5434 216
8330 7288 -508
1310 1293 -972
3577 71 -955
5443 4490 174
9616 6969 -115
779 4653 656
8454 4913 304
6491 5941 522
2686 7456 340
9661 7710 185
9666 9411 -778
9797 794 -468
8385 2543 -691
6053 2202 297
2120 9200 117
9346 1912 801
4927 9869 583
3632 857 -52
2785 8746 -895
4367 8115 174
8097 7461 -823
948 4203 821
5196 3608 742
6563 1333 -897
1252 7630 -778
505 7246 -15
839 8752 104
2666 4343 757
4572 9206 163
3429 1082 612
2798 7781 -679
4731 5709 270
2561 6653 750
8958 1352 -213
395 9405 684
8472 7819 -479
9674 4992 -725
656 7671 -254
8002 250 411
2952 2609 -193
4351 5208 769
833 7483 -405
337 1289 317
4777 8019 533
3566 731 606
1360 5318 -349
3683 5691 -219
700 2417 -473
3962 8890 -37
7363 9318 668
7162 1025 455
4829 4441 173
6303 7193 -375
5225 3648 -719
106 2478 198
3354 8030 805
8897 3504 442
3869 3243 -581
4418 6867 -326
358 5714 -429
6601 3290 -680
2301 9746 255
4241 7631 -805
9680 5557 929
9408 2463 -540
5586 5588 -555
521 4784 -870
2939 6614 83
3309 4326 -961
6411 8140 472
3283 2615 -165
1968 1487 -859
2981 8682 932
5464 414 -87
4816 379 745
4789 8698 830
9190 2124 -475
2264 9623 -719
9855 7076 -187
3064 2133 -776
4948 9032 96
1639 6309 453
2103 7560 -326
1706 7698 -519
5520 8024 -526
5523 8591 826
7061 406 -120
7432 6111 -568
1143 2390 280
7882 1173 347
4606 6294 -973
9467 7755 -986
8979 3345 656
5700 9117 -891
752 5652 -286
9746 6918 23
6832 9052 909
993 757 321
150 5348 -259
6474 8400 993
7364 5106 91
6936 2707 740
8634 6512 686
3703 6829 -614
2824 3234 749
2105 6654 719
5345 1687 -870
6088 926 -624
3534 3060 -930
6855 1187 593
141 2384 -915
7264 9729 958
3696 2403 -681
2446 6933 -723
5257 1518 -679
7646 2591 149
4338 6877 813
7636 3161 940
8286 3834 -54
883 3099 -663
6323 7239 301
5830 370 789
1951 8683 819
3702 2157 69
6686 2084 513
8554 316 -574
1196 1390 40
4644 8423 81
7814 5096 -85
7189 8270 -201
4307 1425 653
402 7042 -76
8939 2332 -611
1145 3440 693
949 2529 388
7063 6050 -306
6589 9013 182
1617 5018 201
6241 5539 -403
476 2727 -855
6272 1880 -887
3723 8049 -653
7354 1281 440
387 6845 560
724 770 523
5430 6320 -987
7303 2385 833
8125 7330 602
2873 9019 888
7245 5710 -805
5142 9306 278
1185 687 -931
8603 4986 -727
9401 6583 41
3302 9507 393
3346 6298 284
1784 9353 -482
2905 2418 -812
6152 9155 855
2535 7813 580
5032 5876 -247
8791 1602 -819
8428 1255 113
522 941 772
1455 3924 -191
8395 8883 610
6459 1463 -689
3499 2887 -370
5456 6174 657
8492 3241 223
5404 6158 -189
8936 9358 -326
6375 1154 850
5868 9065 -233
7683 6227 379
2350 6537 -207
2946 1432 -864
5773 8345 -185
7470 8746 434
1415 7215 210
4169 2180 663
5270 4979 421
750 4945 -687
8136 616 -403
2953 588 47
5643 4207 -374
4694 3416 266
1416 9238 983
2277 3873 784
6528 2734 -825
7394 5028 -944
7941 5802 411
7110 9771 947
8148 2842 -459
5111 6852 -802
1443 3923 680
5953 9357 555
8897 3049 -981
6522 1607 -511
3331 6746 -564
5592 3200 820
3468 5702 123
8758 3572 -477
8677 9406 701
6004 7652 -265
1040 6925 -789
8401 6656 382
7105 4783 209
6547 1603 495
6963 2466 260
8352 4074 408
5003 1987 -825
3751 3042 -209
81 4351 -21
4599 6478 798
7626 195 -596
8171 8438 460
2291 1607 -203
6799 1097 364
2302 251 -195
9162 5359 315
4486 1741 233
8911 4317 -852
6931 7113 629
6793 7453 -372
5154 8235 354
69 1820 371
8369 4927 -572
641 498 -346
87 6147 896
2380 4840 932
8056 8524 289
4355 8464 -790
3959 6006 936
5743 4936 -830
6622 5898 554
5211 3895 73
212 9236 -88
5639 1444 -602
8647 2044 -395
7732 2560 -595
4916 2717 228
4529 9127 -451
9870 7377 294
6537 1646 -372
7403 4009 497
4516 9408 859
6973 9494 796
2385 9012 366
8872 1877 755
9090 1083 629
4225 2859 848
6068 6753 386
2003 1212 961
7304 2944 88
2787 7055 904
734 7815 600
8732 3267 515
5156 6870 965
7654 5118 244
2223 8424 84
448 4939 639
1132 2286 328
5104 8969 -813
7744 1704 609
4671 6040 456
91 9084 422
6280 5380 192
1130 3801 324
5032 9533 -758
5825 9584 431
1157 7472 -278
6323 5300 282
7580 576 -320
5375 5472 386
8828 2933 426
9272 5282 -145
4980 8961 -911
7096 155 -270
4055 8563 208
566 2337 836
604 6387 365
1255 3342 669
8760 9417 -86
5986 976 -838
2017 1210 910
6612 4908 -122
3994 2700 349
2644 2973 774
112 2477 311
1102 4712 -705
5076 3141 -435
7402 9304 -614
9622 6690 684
5421 8310 -66
8823 1661 -474
354 7224 -5
98 1191 77
6225 4554 543
8348 9349 -387
7590 1854 -981
3581 5259 223
7914 6515 -804
2780 7205 -889
5657 3188 -158
3689 2496 -249
1119 9523 -667
971 1017 -934
9436 5828 475
1755 2854 -99
5520 4801 0
8116 7453 37
6645 233 249
3336 3731 571
9261 76 213
8541 2542 606
1371 8588 -280
6487 8019 -491
234 1248 -976
4777 7424 -703
824 1971 226
3333 7080 808
5430 6712 -413
435 7864 950
3027 4722 -658
3811 3537 -235
6862 8602 -594
953 8333 -484
4174 8682 -619
6963 2521 -898
3853 2872 646
2824 1991 -557
3527 306 -852
5966 7606 542
1284 4254 923
9086 8833 316
2323 5116 822
2958 6393 27
8732 709 -424
9113 2568 937
5813 2058 -611
7668 1550 351
8422 8715 605
1913 258 800
4016 8306 263
4494 8841 904
5328 1909 -529
2002 628 260
5664 2054 -65
7669 5176 176
539 3234 -644
2817 2820 -127
7658 5776 135
3332 6426 915
8671 7498 -417
314 8107 680
271 2628 311
2428 5958 -491
165 3467 336
7333 4964 460
3788 1953 -496
5493 7617 543
385 563 -685
986 4433 612
6227 709 794
937 3410 354
3803 6574 -680
7096 5132 -751
9304 2446 579
6634 8449 69
4687 7971 -861
9413 482 -855
5779 2922 156
7232 740 390
6346 7129 -789
3546 8549 -431
6354 7374 -178
2389 9689 -750
4224 3792 906
9257 9345 -763
927 2293 833
1806 9382 -527
9220 841 -292
5012 9582 -738
5878 419 -755
4654 2106 207
3702 7417 861
4085 5934 207
5669 4000 195
853 3039 904
2700 5543 993
9702 5115 -462
21 1592 -990
8542 4419 -847
1625 1779 23
9307 4221 789
5090 224 79
6177 3195 963
8548 5048 419
7200 2153 -360
5578 6868 -678
809 8887 17
4295 7685 -137
8131 9576 207
6230 4963 -218
6945 8400 -197
1019 1076 -802
202 8794 443
3279 5732 -523
6826 8623 130
1768 3438 -273
9085 9500 -750
6758 5884 -598
7868 4626 310
4347 9416 533
3935 4772 -308
1394 4371 -41
3915 9278 538
1019 1201 -34
8061 1357 -949
7638 4079 491
1533 2548 828
4037 9831 132
3440 8103 -530
9525 8212 565
3288 6302 -756
4931 3094 74
3211 7258 -176
6989 6758 861
7920 6448 -492
2133 4214 378
1925 7740 833
285 7845 462
6826 7629 -309
5264 9691 -822
9824 7660 263
300 9280 -637
9395 2500 -450
5891 5521 833
3260 1178 -822
8274 2932 -801
5015 3011 448
4648 9390 902
4746 1534 -863
6141 6226 193
8463 5708 258
3979 6214 -394
4367 2342 369
5994 7410 -567
2508 9418 -966
4111 269 -582
7348 8230 -829
990 5164 -83
6565 5595 -377
6519 3712 -830
4758 8001 -843
1015 4295 62
7060 1434 915
7391 575 -656
6339 4163 -357
6494 9121 -507
5413 2101 209
4629 9378 489
7670 4708 982
2020 4416 292
8194 9815 -835
2899 6452 -916
6650 8981 -335
6023 8400 -50
9473 7478 -115
4186 983 -455
7219 7346 -732
2222 4319 165
1958 1136 -745
1143 7009 -125
5912 964 -420
1677 9473 -784
2442 3762 -761
1339 4449 764
9461 8468 736
3840 9668 467
6097 555 475
5195 2160 -199
5965 759 170
9510 4188 766
6859 4231 701
8540 9311 -635
9790 5581 -338
8721 5784 325
8840 4120 -654
6595 359 527
6035 1786 -46
7525 5108 784
6655 1018 -761
7748 1715 201
4446 7383 -67
8105 4002 316
6515 3528 -206
1963 4412 650
2404 4873 -492
7612 987 -578
7172 566 808
4325 4378 780
954 7789 -939
2002 4718 179
237 3572 -902
4484 7686 -982
4172 6806 -869
2024 319 -18
2103 8779 266
8286 8101 -495
8734 4095 285
6540 4980 492
4108 9100 -588
6313 5824 87
8592 6340 456
5365 4486 54
5281 6545 -57
2855 4491 540
9703 207 -553
3487 4556 -992
3331 6824 350
4618 7630 -918
2602 2448 -464
6699 7557 -639
6902 975 -869
5304 9773 602
5519 1830 414
3190 8636 77
3332 7759 -81
3182 8745 -919
3242 8299 -339
623 9588 204
1401 4769 42
1531 7117 321
797 4124 619
4461 3795 821
687 5016 873
6434 8623 817
6418 4103 917
509 432 428
8455 8164 -488
579 8713 -572
5600 4260 -746
4087 2312 157
8609 9564 -934
2318 3556 -154
976 6689 -19
1989 8227 577
5901 4934 -696
1781 5375 -705
7124 3726 -362
4814 946 -446
6019 5815 -514
4046 7976 169
6298 9807 973
2908 1304 -524
284 4784 -457
7545 7953 651
4871 1424 -518
3946 7324 -216
4599 6002 -424
8643 3632 256
6476 46 37
5852 9260 -936
8748 7761 18
5414 5520 947
7487 7709 536
8532 8699 -468
1193 8309 -20
3507 8365 -853
1968 6807 -455
4081 7856 -892
9467 6605 233
5432 6023 -736
1962 7671 194
2925 7280 446
6698 3677 -787
449 8770 474
282 4915 501
8010 3133 -142
8581 4831 101
4392 5305 88
4424 7099 -69
2993 5580 -564
107 1549 -578
6258 9595 -223
4451 19 -95
1612 1505 587
1682 6637 718
2104 4492 938
4883 366 -319
911 8008 580
6393 3652 -487
7167 3041 709
8611 6577 452
5507 7591 251
1246 7593 -722
8879 1944 -500
9874 5895 -804
5031 8201 698
6636 6372 -238
380 8733 196
5539 9619 -278
5108 3199 875
4485 4900 790
8220 575 821
8881 6371 427
9600 3485 -226
4956 9217 -523
4866 2035 -264
8597 3060 -709
8801 5725 169
8485 902 282
9230 4817 -310
5752 9072 -151
4746 556 -124
2755 8322 -245
7300 6248 75
2434 9002 800
864 4321 658
1641 2055 507
7501 8359 1
5118 2526 395
1203 525 78
5530 1613 -295
4010 7118 -707
5874 5750 543
3626 1424 -143
8061 8395 -540
4505 7428 979
4412 5287 902
9195 2907 -642
3204 3839 280
9029 5611 -308
9688 3050 762
3188 5061 -451
1304 6856 665
3663 5130 543
1276 3567 -75
2393 677 204
8731 8651 473
2007 7904 -942
5368 6756 -297
465 728 170
5795 3685 -532
6399 9799 -228
6568 4959 -924
4266 7347 326
6720 694 68
9734 7174 -516
5837 2627 248
3163 9799 293
8129 7633 827
3668 5771 -937
2570 5669 -60
7204 7426 174
4027 4880 943
683 1080 10
171 2046 703
9752 7693 -672
8494 222 760
5590 5767 -895
3427 4670 -352
4103 8230 59
1992 3070 834
7211 2659 430
6015 3456 -277
2729 586 718
2130 2860 -107
3338 5168 921
696 9022 151
6469 7964 491
621 3837 985
1561 2618 -834
6476 1354 -187
320 6128 -478
2024 8623 402
6574 7393 595
590 3248 -388
4914 9801 -508
6971 5583 754
8431 8253 -796
8267 1109 -270
9529 5311 988
7355 7241 -973
8142 2733 -300
9760 1215 -512
8058 7308 -331
8546 1820 495
5710 2102 894
1570 5075 408
4955 8774 -484
592 6833 737
3689 9430 260
6086 2035 955
4608 9712 561
9535 2685 186
4809 4719 -81
338 4063 770
4371 1148 514
2076 4491 -132
4314 5663 647
3662 1469 806
1926 1012 -967
5742 9631 350
8728 3667 -596
3530 565 728
5220 6703 -603
4013 2214 -413
5372 8837 525
4566 8108 694
8064 1888 -799
1922 9657 -234
2739 7594 488
5796 9851 -103
2868 2258 363
7584 8246 113
7255 5006 -685
6757 6639 -993
7096 8571 164
5901 1855 -324
8680 6841 544
7640 1958 -351
9707 9130 669
4197 2157 -124
3512 5838 -278
4516 9881 121
2459 842 106
4618 5219 -551
2686 8157 -278
1403 1729 885
6551 9353 529
8860 8395 743
606 1433 531
5189 3107 -428
4819 5387 55
2644 2372 -567
4216 6821 -371
1343 4551 578
4980 187 -204
7321 9744 467
903 4144 -492
3891 3403 -634
9854 305 351
1372 8858 574
3561 176 -392
9204 8708 -649
8379 8547 639
8114 6216 -495
3207 5740 -880
9285 7028 145
6696 89 482
6298 1855 331
5817 4930 203
7252 6649 773
6343 7722 -154
1574 418 -784
4585 3081 -742
6444 8904 489
5098 3151 423
1997 2978 349
9551 2772 767
4053 2563 932
317 5150 498
7525 6277 -881
5472 3648 317
9155 8995 -164
8903 2327 301
6480 4834 866
2377 1637 -107
6411 6609 65
1454 7098 -208
5876 3057 629
6302 9413 499
964 4870 -901
5853 3511 -374
1924 6245 -476
5863 7327 330
7549 2629 651
668 3216 522
3813 8035 -101
7626 3792 638
2996 8405 414
