940 877
794 229 -177
628 392 -903
579 805 -749
154 260 270
882 697 -52
676 606 72
167 101 -1000
793 829 -55
739 569 428
224 271 -225
94 717 -960
737 846 -537
85 721 458
679 27 505
172 784 -112
767 535 -792
903 98 -34
451 116 -662
929 860 569
513 755 99
826 2 -102
678 499 -680
27 37 -459
668 74 646
744 377 729
378 655 -647
430 128 137
445 151 -408
125 106 50
830 883 877
183 676 801
243 745 845
705 674 -146
839 364 -609
269 292 -230
288 445 -128
161 774 849
97 898 593
312 681 662
851 710 914
498 740 -139
427 779 114
844 804 -442
21 201 37
845 692 -868
672 208 -45
42 856 -938
404 201 425
817 537 -188
924 812 323
346 415 -255
12 68 189
525 559 -306
778 49 841
848 805 186
726 803 -772
20 485 793
271 773 -561
792 417 288
290 257 -947
715 939 79
611 167 142
731 421 830
240 898 -68
234 324 -542
539 935 -917
714 232 -443
873 933 -70
135 653 562
585 517 -63
390 421 -818
861 884 493
919 807 -621
476 69 -160
135 763 595
766 383 449
192 775 423
30 362 -768
364 710 55
85 222 -380
692 590 423
789 183 782
757 779 -333
294 459 -961
846 176 366
143 371 -95
874 502 175
574 877 -69
66 553 -131
685 268 -483
520 256 -406
728 927 653
177 502 -268
686 510 20
115 671 -928
237 544 455
915 696 -442
117 749 -804
446 870 -129
1 644 717
781 366 545
204 252 -265
787 499 -402
70 730 -951
7 46 -806
592 719 292
571 232 142
749 391 -654
844 513 -682
491 31 68
889 663 376
533 344 999
242 742 116
60 24 -730
34 379 248
719 767 -120
591 283 966
536 476 -170
552 536 18
123 560 647
280 563 69
509 84 -620
106 60 -299
526 206 66
543 208 -754
458 49 903
764 386 -926
653 236 143
37 869 -90
454 710 942
922 911 -508
768 77 -585
81 868 591
66 577 837
374 768 -193
341 270 595
430 223 -370
295 25 -191
557 10 436
722 681 -223
570 629 -466
187 575 -609
444 58 -674
499 878 -375
578 251 -566
45 212 836
630 226 626
400 668 875
181 125 175
875 812 381
134 763 96
17 464 -515
242 643 -878
219 468 256
753 809 635
487 46 -429
47 549 999
866 138 300
879 709 -85
8 446 230
888 918 343
747 485 235
786 897 490
168 575 -222
37 421 -422
604 878 -809
844 115 -587
620 661 -225
567 524 -505
446 454 534
853 38 491
590 369 445
193 765 965
306 220 -75
322 232 725
731 626 -359
504 923 235
919 564 39
65 333 567
355 840 591
75 186 -665
2 630 580
276 335 133
392 707 -465
615 760 -496
101 156 161
423 611 -705
283 136 -911
594 664 -653
175 97 814
576 475 -224
832 255 -333
709 373 -988
618 934 -836
591 143 195
455 660 -258
118 583 -607
522 567 701
66 412 924
361 614 -589
628 308 -555
535 520 754
855 134 277
369 898 -253
886 736 -814
65 168 -670
50 180 -569
7 480 186
509 166 -656
255 672 -782
510 753 841
884 365 682
339 832 -39
148 65 -36
86 780 -48
392 411 -180
243 268 335
384 344 -491
938 531 -587
200 740 91
157 540 -819
82 101 -568
82 733 -811
856 832 337
555 578 799
23 579 -236
612 158 419
208 787 -735
345 343 234
52 73 306
919 889 823
164 466 169
610 510 -331
731 220 773
723 391 97
392 444 -612
453 411 -671
730 14 193
55 195 587
250 783 -669
880 371 954
569 589 385
467 160 -527
431 622 796
420 77 -459
665 104 495
349 255 -346
511 621 864
226 326 -759
599 138 -605
352 562 10
216 647 -213
277 438 50
653 902 232
838 228 -806
527 153 214
248 836 -25
388 387 -179
581 517 931
572 864 398
903 68 337
154 497 -946
675 63 814
906 825 83
217 70 655
897 341 680
624 423 -366
608 692 906
242 798 -23
398 190 425
803 691 -120
435 240 551
467 412 441
182 147 704
325 294 -925
414 575 583
706 892 648
239 646 -859
402 897 869
557 5 780
776 862 -31
483 894 493
533 842 -361
695 80 -949
834 577 789
177 562 762
707 575 931
195 915 473
931 408 53
504 793 -397
377 690 937
15 80 67
210 789 518
142 1 84
349 127 381
35 187 726
449 17 280
710 802 308
627 607 -439
900 631 713
541 406 -639
529 498 715
442 889 -750
888 276 840
141 911 -542
363 835 418
385 85 445
789 805 -554
270 931 536
806 21 -275
40 631 -5
925 717 -548
351 106 -4
533 233 -630
271 50 -843
566 265 -968
345 474 -16
562 757 644
713 823 -254
642 771 771
851 669 -163
223 588 -724
708 808 176
706 334 -113
897 685 -133
325 813 920
707 874 -21
37 408 -445
456 796 -807
789 648 -356
198 45 246
9 547 -717
587 475 18
625 547 381
454 795 -730
131 248 -816
517 521 -558
102 913 561
857 28 -355
863 592 -194
660 204 -458
93 373 625
520 528 -767
138 30 -694
236 245 -148
38 446 913
928 804 553
163 750 -159
601 327 -147
293 101 -651
433 923 -967
41 886 857
489 329 -947
76 472 154
95 669 -73
426 608 -341
659 334 -165
267 732 815
345 172 -841
659 805 -122
406 516 142
617 59 -31
424 757 451
815 685 57
86 417 585
327 78 163
526 550 -88
723 688 -58
933 735 -196
353 601 -434
525 365 -460
677 232 282
396 668 -52
599 436 -873
608 683 319
175 859 -10
786 512 707
407 345 614
577 217 -818
156 762 56
703 106 -646
193 466 45
152 245 628
899 361 571
604 543 833
204 351 35
775 484 -105
478 894 114
587 326 526
17 118 907
211 824 -703
830 180 -289
816 900 367
123 610 -811
775 455 578
451 125 952
773 449 877
56 595 847
664 498 -859
419 71 -462
811 538 614
825 587 -867
93 430 -472
577 660 -287
671 545 -667
505 278 111
345 120 -152
373 364 -214
586 181 117
807 210 -64
224 894 -410
413 177 -809
845 411 -840
472 818 -763
623 287 -878
42 331 991
839 903 -370
47 548 -98
330 268 518
281 107 657
169 782 756
806 147 -742
53 847 -121
668 696 516
105 209 -977
189 516 -39
817 650 388
770 401 -889
126 320 586
647 720 982
255 540 872
587 657 432
232 405 -726
498 861 -434
15 402 -54
734 22 -475
893 810 -178
227 120 494
70 288 -705
69 27 -343
521 477 445
386 357 -385
524 665 680
905 449 338
237 751 629
130 525 -406
356 814 422
377 709 -365
10 878 -653
268 543 -473
843 727 -102
425 334 -224
308 788 921
544 382 -506
777 109 763
824 857 -123
793 934 591
631 159 -920
331 169 657
179 384 514
15 659 -44
196 888 913
871 849 253
782 140 -577
710 93 -250
217 86 -413
692 654 -157
546 76 -217
296 48 -598
33 857 338
216 375 507
838 854 623
53 707 -890
712 898 419
858 140 11
538 109 -118
898 595 -220
608 154 -528
112 187 269
411 601 -343
94 687 513
452 209 -518
491 344 65
51 374 364
603 518 -698
381 792 -55
767 341 850
444 137 959
122 834 95
792 741 -905
787 551 -381
160 333 -501
725 526 949
567 649 858
97 277 186
248 297 22
920 762 -619
621 912 116
387 644 -603
95 354 414
320 35 -331
687 215 -633
606 188 -256
789 441 605
870 682 933
151 142 -665
699 618 669
181 681 -770
120 8 -730
91 650 831
301 354 392
88 578 -884
657 797 775
798 455 -572
694 125 200
43 547 -20
630 383 2
272 282 -628
310 693 858
